Date,Open,High,Low,Close,Volume,Adj Close
29-Jan-03,"8,087.95","8,173.31","7,916.89","8,110.71","1,595,400,000","8,110.71"
28-Jan-03,"7,991.07","8,153.36","7,954.95","8,088.84","1,459,100,000","8,088.84"
27-Jan-03,"8,128.54","8,167.41","7,929.16","7,989.56","1,435,900,000","7,989.56"
24-Jan-03,"8,367.89","8,367.89","8,092.00","8,131.01","1,574,800,000","8,131.01"
23-Jan-03,"8,320.72","8,437.69","8,215.61","8,369.47","1,744,550,000","8,369.47"
22-Jan-03,"8,439.54","8,493.50","8,270.94","8,318.73","1,560,800,000","8,318.73"
21-Jan-03,"8,586.26","8,650.43","8,421.03","8,442.90","1,335,200,000","8,442.90"
17-Jan-03,"8,695.82","8,695.82","8,523.60","8,586.74","1,358,200,000","8,586.74"
16-Jan-03,"8,721.12","8,837.47","8,634.46","8,697.87","1,534,600,000","8,697.87"
15-Jan-03,"8,843.64","8,865.65","8,674.43","8,723.18","1,432,100,000","8,723.18"
14-Jan-03,"8,787.22","8,865.41","8,717.56","8,842.62","1,379,400,000","8,842.62"
13-Jan-03,"8,787.83","8,896.09","8,721.12","8,785.98","1,396,300,000","8,785.98"
10-Jan-03,"8,776.04","8,846.25","8,654.21","8,784.89","1,485,400,000","8,784.89"
9-Jan-03,"8,596.68","8,814.09","8,596.68","8,776.18","1,560,300,000","8,776.18"
8-Jan-03,"8,735.93","8,749.44","8,549.72","8,595.31","1,467,600,000","8,595.31"
7-Jan-03,"8,775.84","8,843.37","8,661.20","8,740.59","1,545,200,000","8,740.59"
6-Jan-03,"8,602.78","8,826.71","8,578.86","8,773.57","1,435,900,000","8,773.57"
3-Jan-03,"8,607.38","8,669.91","8,503.71","8,601.69","1,130,800,000","8,601.69"
2-Jan-03,"8,342.38","8,633.02","8,342.38","8,607.52","1,229,200,000","8,607.52"
31-Dec-02,"8,332.24","8,400.46","8,216.44","8,341.63","1,088,500,000","8,341.63"
30-Dec-02,"8,304.06","8,405.67","8,214.93","8,332.85","1,057,800,000","8,332.85"
27-Dec-02,"8,429.28","8,470.05","8,272.31","8,303.78","758,400,000","8,303.78"
26-Dec-02,"8,448.86","8,587.98","8,392.23","8,432.61","721,100,000","8,432.61"
24-Dec-02,"8,491.99","8,522.98","8,407.45","8,448.11","458,310,000","8,448.11"
23-Dec-02,"8,511.39","8,573.92","8,418.90","8,493.29","1,112,100,000","8,493.29"
20-Dec-02,"8,367.41","8,557.47","8,367.41","8,511.32","1,782,730,000","8,511.32"
19-Dec-02,"8,441.94","8,530.25","8,302.41","8,364.80","1,385,900,000","8,364.80"
18-Dec-02,"8,531.31","8,553.76","8,367.89","8,447.35","1,446,200,000","8,447.35"
17-Dec-02,"8,626.99","8,672.38","8,495.21","8,535.39","1,251,800,000","8,535.39"
16-Dec-02,"8,436.59","8,649.06","8,421.58","8,627.40","1,271,600,000","8,627.40"
13-Dec-02,"8,536.07","8,563.16","8,374.68","8,433.71","1,330,800,000","8,433.71"
12-Dec-02,"8,590.99","8,662.71","8,466.21","8,538.40","1,255,300,000","8,538.40"
11-Dec-02,"8,571.52","8,669.91","8,452.84","8,589.14","1,285,100,000","8,589.14"
10-Dec-02,"8,473.61","8,624.93","8,419.86","8,574.26","1,286,600,000","8,574.26"
9-Dec-02,"8,643.99","8,643.99","8,438.24","8,473.41","1,320,800,000","8,473.41"
6-Dec-02,"8,620.88","8,707.21","8,469.16","8,645.77","1,241,100,000","8,645.77"
5-Dec-02,"8,740.66","8,796.68","8,572.00","8,623.28","1,250,200,000","8,623.28"
4-Dec-02,"8,734.22","8,834.04","8,600.93","8,737.85","1,588,900,000","8,737.85"
3-Dec-02,"8,861.13","8,882.04","8,649.89","8,742.93","1,488,400,000","8,742.93"
2-Dec-02,"8,902.95","9,076.35","8,757.60","8,862.57","1,612,000,000","8,862.57"
29-Nov-02,"8,933.67","8,995.78","8,847.42","8,896.09","643,460,000","8,896.09"
27-Nov-02,"8,678.96","8,975.08","8,678.96","8,931.68","1,350,300,000","8,931.68"
26-Nov-02,"8,844.12","8,845.01","8,634.53","8,676.42","1,543,600,000","8,676.42"
25-Nov-02,"8,804.97","8,918.03","8,717.63","8,849.40","1,574,000,000","8,849.40"
22-Nov-02,"8,842.41","8,944.16","8,732.23","8,804.84","1,626,800,000","8,804.84"
21-Nov-02,"8,625.48","8,910.83","8,619.58","8,845.15","2,415,100,000","8,845.15"
20-Nov-02,"8,469.57","8,675.12","8,402.72","8,623.01","1,517,300,000","8,623.01"
19-Nov-02,"8,484.93","8,566.45","8,355.62","8,474.78","1,337,400,000","8,474.78"
18-Nov-02,"8,579.74","8,671.41","8,444.26","8,486.57","1,282,600,000","8,486.57"
15-Nov-02,"8,535.64","8,622.30","8,421.10","8,579.09","1,400,100,000","8,579.09"
14-Nov-02,"8,403.69","8,596.50","8,396.27","8,542.13","1,488,100,000","8,542.13"
13-Nov-02,"8,380.32","8,523.47","8,237.65","8,398.49","1,463,400,000","8,398.49"
12-Nov-02,"8,356.73","8,557.25","8,286.13","8,386.00","1,377,100,000","8,386.00"
11-Nov-02,"8,535.81","8,541.09","8,315.40","8,358.95","1,113,000,000","8,358.95"
8-Nov-02,"8,585.75","8,688.96","8,455.01","8,537.13","1,446,500,000","8,537.13"
7-Nov-02,"8,766.08","8,766.08","8,517.78","8,586.24","1,466,900,000","8,586.24"
6-Nov-02,"8,677.17","8,841.61","8,561.48","8,771.01","1,623,700,000","8,771.01"
5-Nov-02,"8,568.76","8,730.92","8,497.60","8,678.27","1,354,100,000","8,678.27"
4-Nov-02,"8,521.60","8,787.30","8,510.08","8,571.60","1,645,900,000","8,571.60"
1-Nov-02,"8,395.64","8,569.24","8,271.77","8,517.64","1,450,400,000","8,517.64"
31-Oct-02,"8,427.34","8,538.17","8,293.17","8,397.03","1,641,300,000","8,397.03"
30-Oct-02,"8,363.95","8,502.32","8,273.99","8,427.41","1,422,300,000","8,427.41"
29-Oct-02,"8,367.28","8,456.19","8,161.01","8,368.94","1,529,700,000","8,368.94"
28-Oct-02,"8,448.98","8,601.01","8,281.34","8,368.04","1,382,600,000","8,368.04"
25-Oct-02,"8,317.48","8,474.92","8,210.74","8,443.99","1,340,400,000","8,443.99"
24-Oct-02,"8,495.38","8,607.04","8,253.60","8,317.34","1,700,570,000","8,317.34"
23-Oct-02,"8,448.56","8,546.57","8,256.79","8,494.27","1,593,900,000","8,494.27"
22-Oct-02,"8,534.08","8,543.65","8,303.33","8,450.16","1,549,200,000","8,450.16"
21-Oct-02,"8,320.74","8,580.13","8,191.87","8,538.24","1,447,000,000","8,538.24"
18-Oct-02,"8,287.72","8,383.16","8,115.72","8,322.40","1,423,100,000","8,322.40"
17-Oct-02,"8,038.31","8,395.99","8,038.31","8,275.04","1,780,390,000","8,275.04"
16-Oct-02,"8,232.10","8,232.10","7,958.34","8,036.03","1,585,000,000","8,036.03"
15-Oct-02,"7,883.23","8,304.58","7,883.23","8,255.68","1,956,000,000","8,255.68"
14-Oct-02,"7,848.21","7,948.91","7,725.23","7,877.40","1,200,300,000","7,877.40"
11-Oct-02,"7,540.74","7,919.57","7,540.74","7,850.29","1,854,130,000","7,850.29"
10-Oct-02,"7,286.34","7,588.25","7,181.47","7,533.95","2,090,230,000","7,533.95"
9-Oct-02,"7,499.96","7,500.03","7,215.39","7,286.27","1,885,030,000","7,286.27"
8-Oct-02,"7,425.82","7,680.57","7,294.53","7,501.49","1,938,430,000","7,501.49"
7-Oct-02,"7,528.68","7,685.42","7,368.46","7,422.84","1,576,500,000","7,422.84"
4-Oct-02,"7,719.34","7,817.06","7,428.32","7,528.40","1,835,930,000","7,528.40"
3-Oct-02,"7,753.46","7,943.64","7,638.47","7,717.19","1,674,500,000","7,717.19"
2-Oct-02,"7,936.57","7,996.77","7,696.66","7,755.61","1,668,900,000","7,755.61"
1-Oct-02,"7,593.04","7,964.24","7,558.36","7,938.79","1,780,900,000","7,938.79"
30-Sep-02,"7,698.81","7,729.53","7,422.28","7,591.93","1,721,870,000","7,591.93"
27-Sep-02,"7,996.01","7,997.12","7,664.89","7,701.45","1,507,300,000","7,701.45"
26-Sep-02,"7,844.62","8,086.86","7,800.97","7,997.12","1,650,000,000","7,997.12"
25-Sep-02,"7,687.16","7,939.90","7,641.87","7,841.82","1,651,500,000","7,841.82"
24-Sep-02,"7,871.23","7,893.36","7,606.77","7,683.13","1,670,240,000","7,683.13"
23-Sep-02,"7,984.77","7,984.77","7,738.06","7,872.15","1,381,100,000","7,872.15"
20-Sep-02,"7,945.93","8,081.04","7,868.60","7,986.02","1,792,800,000","7,986.02"
19-Sep-02,"8,170.65","8,170.65","7,904.87","7,942.39","1,524,000,000","7,942.39"
18-Sep-02,"8,203.07","8,283.49","8,013.42","8,172.45","1,501,000,000","8,172.45"
17-Sep-02,"8,386.35","8,508.61","8,169.88","8,207.55","1,448,600,000","8,207.55"
16-Sep-02,"8,311.79","8,435.04","8,214.27","8,380.18","1,001,400,000","8,380.18"
13-Sep-02,"8,377.68","8,414.79","8,175.85","8,312.69","1,271,000,000","8,312.69"
12-Sep-02,"8,574.94","8,574.94","8,334.82","8,379.41","1,191,600,000","8,379.41"
11-Sep-02,"8,604.27","8,767.82","8,545.11","8,581.17","846,600,000","8,581.17"
10-Sep-02,"8,520.14","8,660.94","8,447.73","8,602.61","1,186,400,000","8,602.61"
9-Sep-02,"8,425.88","8,584.30","8,288.28","8,519.38","1,130,600,000","8,519.38"
6-Sep-02,"8,296.46","8,526.80","8,296.46","8,427.20","1,184,500,000","8,427.20"
5-Sep-02,"8,420.20","8,420.20","8,173.56","8,283.70","1,401,300,000","8,283.70"
4-Sep-02,"8,308.53","8,495.03","8,216.98","8,425.12","1,372,100,000","8,425.12"
3-Sep-02,"8,659.27","8,659.27","8,282.87","8,308.05","1,323,400,000","8,308.05"
30-Aug-02,"8,669.26","8,811.72","8,572.85","8,663.50","929,900,000","8,663.50"
29-Aug-02,"8,690.69","8,769.34","8,514.10","8,670.99","1,271,100,000","8,670.99"
28-Aug-02,"8,823.93","8,832.18","8,610.79","8,694.09","1,146,600,000","8,694.09"
27-Aug-02,"8,917.49","9,040.04","8,747.77","8,824.41","1,307,700,000","8,824.41"
26-Aug-02,"8,873.93","8,981.23","8,723.43","8,919.01","1,016,900,000","8,919.01"
23-Aug-02,"9,051.49","9,051.49","8,806.38","8,872.96","1,071,500,000","8,872.96"
22-Aug-02,"8,961.18","9,129.10","8,860.34","9,053.64","1,373,000,000","9,053.64"
21-Aug-02,"8,866.14","9,033.52","8,768.51","8,957.23","1,353,100,000","8,957.23"
20-Aug-02,"8,986.50","8,989.69","8,789.13","8,872.07","1,308,500,000","8,872.07"
19-Aug-02,"8,777.09","9,037.38","8,720.81","8,990.79","1,299,800,000","8,990.79"
16-Aug-02,"8,813.07","8,899.42","8,644.59","8,778.06","1,265,300,000","8,778.06"
15-Aug-02,"8,745.04","8,914.37","8,620.98","8,818.14","1,505,100,000","8,818.14"
14-Aug-02,"8,479.14","8,778.89","8,295.34","8,743.31","1,533,800,000","8,743.31"
13-Aug-02,"8,683.15","8,801.87","8,445.91","8,482.39","1,297,700,000","8,482.39"
12-Aug-02,"8,741.92","8,753.14","8,528.15","8,688.89","1,036,500,000","8,688.89"
9-Aug-02,"8,707.24","8,824.92","8,538.46","8,745.45","1,294,900,000","8,745.45"
8-Aug-02,"8,456.29","8,755.70","8,364.29","8,712.02","1,646,700,000","8,712.02"
7-Aug-02,"8,282.25","8,520.95","8,171.70","8,456.15","1,490,400,000","8,456.15"
6-Aug-02,"8,049.93","8,472.28","8,049.93","8,274.09","1,514,100,000","8,274.09"
5-Aug-02,"8,312.92","8,371.00","7,991.43","8,043.63","1,425,500,000","8,043.63"
2-Aug-02,"8,504.96","8,566.36","8,179.80","8,313.13","1,538,100,000","8,313.13"
1-Aug-02,"8,732.58","8,758.40","8,430.68","8,506.62","1,672,200,000","8,506.62"
31-Jul-02,"8,678.65","8,793.36","8,463.21","8,736.59","2,049,360,000","8,736.59"
30-Jul-02,"8,707.03","8,806.86","8,484.05","8,680.03","1,826,090,000","8,680.03"
29-Jul-02,"8,267.99","8,749.12","8,267.99","8,711.88","1,778,650,000","8,711.88"
26-Jul-02,"8,192.61","8,350.10","8,039.89","8,264.39","1,796,100,000","8,264.39"
25-Jul-02,"8,185.89","8,390.39","7,893.34","8,186.31","2,424,700,000","8,186.31"
24-Jul-02,"7,698.46","8,243.07","7,489.53","8,191.29","2,775,560,000","8,191.29"
23-Jul-02,"7,785.55","8,007.91","7,590.75","7,702.34","2,441,020,000","7,702.34"
22-Jul-02,"8,015.04","8,173.08","7,668.35","7,784.58","2,248,060,000","7,784.58"
19-Jul-02,"8,356.74","8,356.74","7,940.83","8,019.26","2,654,100,000","8,019.26"
18-Jul-02,"8,540.47","8,683.84","8,350.72","8,409.49","1,736,300,000","8,409.49"
17-Jul-02,"8,476.21","8,765.39","8,401.12","8,542.48","2,566,500,000","8,542.48"
16-Jul-02,"8,635.31","8,697.69","8,346.29","8,473.11","1,843,700,000","8,473.11"
15-Jul-02,"8,681.28","8,720.18","8,220.78","8,639.19","2,574,800,000","8,639.19"
12-Jul-02,"8,805.33","8,903.00","8,555.15","8,684.53","1,607,400,000","8,684.53"
11-Jul-02,"8,812.12","8,937.87","8,557.84","8,801.53","2,080,480,000","8,801.53"
10-Jul-02,"9,098.16","9,188.71","8,772.94","8,813.50","1,816,900,000","8,813.50"
9-Jul-02,"9,273.38","9,357.35","9,065.88","9,096.09","1,348,900,000","9,096.09"
8-Jul-02,"9,375.70","9,433.08","9,184.90","9,274.90","1,184,400,000","9,274.90"
5-Jul-02,"9,061.54","9,399.65","9,054.97","9,379.50","699,400,000","9,379.50"
3-Jul-02,"9,006.37","9,140.32","8,832.89","9,054.97","1,527,800,000","9,054.97"
2-Jul-02,"9,104.95","9,185.88","8,918.11","9,007.75","1,823,000,000","9,007.75"
1-Jul-02,"9,239.25","9,381.37","9,059.88","9,109.79","1,425,500,000","9,109.79"
28-Jun-02,"9,270.33","9,435.44","9,131.49","9,243.26","2,117,000,000","9,243.26"
27-Jun-02,"9,122.12","9,342.33","8,992.32","9,269.92","1,908,600,000","9,269.92"
26-Jun-02,"9,108.22","9,207.07","8,831.92","9,120.11","336,570,000","9,120.11"
25-Jun-02,"9,285.56","9,457.38","9,089.17","9,126.82","1,513,700,000","9,126.82"
24-Jun-02,"9,252.47","9,417.23","9,046.04","9,281.82","1,552,600,000","9,281.82"
21-Jun-02,"9,430.66","9,456.76","9,186.71","9,253.79","1,497,200,000","9,253.79"
20-Jun-02,"9,561.64","9,628.11","9,390.10","9,431.77","1,389,700,000","9,431.77"
