Date,Open,High,Low,Close,Volume,Adj Close,,,,,,,,,
28-Mar-12,"13,195.39","13,212.64","13,069.26","13,126.21","1,415,400","13,126.21",,,,,,,,,
27-Mar-12,"13,242.09","13,264.98","13,194.33","13,197.73","1,292,800","13,197.73",,,,,,,,,
26-Mar-12,"13,082.62","13,243.86","13,082.39","13,241.63","1,220,800","13,241.63",,,,,,,,,
23-Mar-12,"13,045.99","13,099.91","13,002.77","13,080.73","1,299,300","13,080.73",,,,,,,,,
22-Mar-12,"13,124.40","13,124.47","13,017.42","13,046.14","1,220,600","13,046.14",,,,,,,,,
21-Mar-12,"13,170.79","13,190.02","13,112.93","13,124.62","1,248,600","13,124.62",,,,,,,,,
20-Mar-12,"13,238.45","13,238.45","13,123.38","13,170.19","1,316,600","13,170.19",,,,,,,,,
19-Mar-12,"13,231.94","13,269.71","13,208.63","13,239.13","1,471,200","13,239.13",,,,,,,,,
16-Mar-12,"13,253.51","13,289.08","13,231.45","13,232.62","3,926,200","13,232.62",,,,,,,,,
15-Mar-12,"13,192.97","13,253.51","13,170.19","13,252.76","1,616,500","13,252.76",,,,,,,,,
14-Mar-12,"13,177.15","13,221.27","13,166.25","13,194.10","1,636,100","13,194.10",,,,,,,,,
13-Mar-12,"12,953.20","13,180.40","12,953.13","13,177.68","1,631,300","13,177.68",,,,,,,,,
12-Mar-12,"12,920.58","12,976.36","12,919.98","12,959.71","1,000,000","12,959.71",,,,,,,,,
9-Mar-12,"12,908.62","12,968.79","12,906.43","12,922.02","1,032,400","12,922.02",,,,,,,,,
8-Mar-12,"12,835.53","12,937.19","12,835.53","12,907.94","1,035,300","12,907.94",,,,,,,,,
7-Mar-12,"12,756.12","12,857.73","12,751.51","12,837.33","1,751,100","12,837.33",,,,,,,,,
6-Mar-12,"12,958.65","12,958.73","12,734.86","12,759.15","1,423,300","12,759.15",,,,,,,,,
5-Mar-12,"12,977.34","12,977.34","12,883.91","12,962.81","1,086,300","12,962.81",,,,,,,,,
2-Mar-12,"12,980.75","12,997.51","12,927.77","12,977.57","939,000","12,977.57",,,,,,,,,
1-Mar-12,"12,952.29","13,032.67","12,943.06","12,980.30","1,396,700","12,980.30",,,,,,,,,
29-Feb-12,"13,005.42","13,055.75","12,929.66","12,952.07","1,824,600","12,952.07",,,,,,,,,
28-Feb-12,"12,976.74","13,021.51","12,952.82","13,005.12","1,144,900","13,005.12",,,,,,,,,
27-Feb-12,"12,981.13","13,027.52","12,882.59","12,981.51","1,435,300","12,981.51",,,,,,,,,
24-Feb-12,"12,981.20","13,013.82","12,950.59","12,982.95","894,400","12,982.95",,,,,,,,,
23-Feb-12,"12,937.08","12,996.08","12,882.67","12,984.69","1,204,800","12,984.69",,,,,,,,,
22-Feb-12,"12,966.22","12,977.91","12,914.83","12,938.67","1,242,000","12,938.67",,,,,,,,,
21-Feb-12,"12,949.34","13,005.04","12,926.11","12,965.69","1,647,800","12,965.69",,,,,,,,,
17-Feb-12,"12,903.33","12,967.92","12,903.25","12,949.87","2,346,500","12,949.87",,,,,,,,,
16-Feb-12,"12,779.81","12,914.00","12,779.58","12,904.08","1,344,500","12,904.08",,,,,,,,,
15-Feb-12,"12,864.65","12,899.47","12,753.62","12,780.95","1,275,600","12,780.95",,,,,,,,,
14-Feb-12,"12,871.77","12,878.88","12,786.93","12,878.28","1,200,500","12,878.28",,,,,,,,,
13-Feb-12,"12,799.11","12,887.93","12,799.11","12,874.04","1,122,400","12,874.04",,,,,,,,,
10-Feb-12,"12,889.55","12,889.63","12,743.56","12,801.23","1,236,200","12,801.23",,,,,,,,,
9-Feb-12,"12,884.41","12,924.71","12,846.41","12,890.46","1,570,800","12,890.46",,,,,,,,,
8-Feb-12,"12,865.79","12,893.64","12,817.69","12,883.95","1,382,500","12,883.95",,,,,,,,,
7-Feb-12,"12,844.37","12,903.71","12,782.57","12,878.20","1,161,500","12,878.20",,,,,,,,,
6-Feb-12,"12,860.72","12,860.79","12,793.43","12,845.13","1,080,400","12,845.13",,,,,,,,,
3-Feb-12,"12,705.04","12,869.95","12,704.96","12,862.23","1,428,400","12,862.23",,,,,,,,,
2-Feb-12,"12,716.54","12,741.89","12,676.05","12,705.41","1,143,600","12,705.41",,,,,,,,,
1-Feb-12,"12,632.76","12,784.62","12,632.76","12,716.46","1,435,000","12,716.46",,,,,,,,,
31-Jan-12,"12,654.78","12,720.10","12,567.33","12,632.91","1,680,700","12,632.91",,,,,,,,,
30-Jan-12,"12,659.17","12,659.32","12,529.41","12,653.72","1,304,300","12,653.72",,,,,,,,,
27-Jan-12,"12,733.95","12,733.95","12,630.72","12,660.46","1,644,100","12,660.46",,,,,,,,,
26-Jan-12,"12,756.96","12,841.95","12,695.16","12,734.63","1,308,400","12,734.63",,,,,,,,,
25-Jan-12,"12,673.63","12,778.26","12,580.12","12,758.85","1,354,300","12,758.85",,,,,,,,,
24-Jan-12,"12,708.37","12,708.52","12,613.54","12,675.75","1,254,200","12,675.75",,,,,,,,,
23-Jan-12,"12,720.25","12,764.49","12,665.83","12,708.82","1,498,600","12,708.82",,,,,,,,,
20-Jan-12,"12,623.83","12,720.48","12,620.76","12,720.48","2,551,100","12,720.48",,,,,,,,,
19-Jan-12,"12,578.19","12,625.80","12,563.58","12,623.98","1,480,300","12,623.98",,,,,,,,,
18-Jan-12,"12,474.69","12,582.28","12,453.20","12,578.95","1,541,700","12,578.95",,,,,,,,,
17-Jan-12,"12,423.12","12,573.65","12,423.12","12,482.07","1,486,700","12,482.07",,,,,,,,,
13-Jan-12,"12,469.96","12,470.12","12,311.79","12,422.06","1,614,700","12,422.06",,,,,,,,,
12-Jan-12,"12,449.91","12,483.70","12,385.08","12,471.02","1,282,300","12,471.02",,,,,,,,,
11-Jan-12,"12,459.52","12,462.58","12,399.01","12,449.45","1,302,600","12,449.45",,,,,,,,,
10-Jan-12,"12,394.51","12,514.69","12,394.51","12,462.47","1,412,300","12,462.47",,,,,,,,,
9-Jan-12,"12,359.31","12,409.08","12,333.85","12,392.69","1,222,000","12,392.69",,,,,,,,,
6-Jan-12,"12,407.45","12,415.24","12,332.41","12,359.92","1,311,200","12,359.92",,,,,,,,,
5-Jan-12,"2,642.57","2,673.56","2,631.23","2,669.86","1,836,410,000","2,669.86",,,,,,,,,
4-Jan-12,"2,639.90","2,653.18","2,627.23","2,648.36","1,670,530,000","2,648.36",,,,,,,,,
3-Jan-12,"2,657.39","2,665.90","2,641.98","2,648.72","1,636,850,000","2,648.72",,,,,,,,,
30-Dec-11,"2,610.23","2,616.46","2,604.60","2,605.15","1,056,790,000","2,605.15",,,,,,,,,
29-Dec-11,"2,596.33","2,614.87","2,593.04","2,613.74","1,011,380,000","2,613.74",,,,,,,,,
28-Dec-11,"2,626.19","2,626.34","2,586.85","2,589.98","1,069,930,000","2,589.98",,,,,,,,,
27-Dec-11,"2,613.51","2,633.34","2,610.77","2,625.20","945,590,000","2,625.20",,,,,,,,,
23-Dec-11,"2,607.43","2,618.84","2,599.89","2,618.64","960,940,000","2,618.64",,,,,,,,,
22-Dec-11,"2,584.33","2,601.99","2,581.92","2,599.45","1,515,610,000","2,599.45",,,,,,,,,
21-Dec-11,"2,589.77","2,590.61","2,544.66","2,577.97","1,853,710,000","2,577.97",,,,,,,,,
20-Dec-11,"2,567.25","2,604.52","2,566.87","2,603.73","1,835,720,000","2,603.73",,,,,,,,,
19-Dec-11,"2,564.07","2,570.65","2,518.01","2,523.14","1,560,110,000","2,523.14",,,,,,,,,
16-Dec-11,"2,554.62","2,585.42","2,548.00","2,555.33","2,664,690,000","2,555.33",,,,,,,,,
15-Dec-11,"2,565.93","2,565.94","2,536.58","2,541.01","1,748,400,000","2,541.01",,,,,,,,,
